Pincode,Districtname
263638,ALMORA
263639,BAGESHWAR
263639,ALMORA
263640,BAGESHWAR
263641,BAGESHWAR
263642,BAGESHWAR
263643,ALMORA
263645,ALMORA
263646,ALMORA
263651,ALMORA
263652,ALMORA
263652,BAGESHWAR
263653,ALMORA
263655,ALMORA
263656,ALMORA
263658,ALMORA
263659,ALMORA
263660,ALMORA
263661,ALMORA
263663,ALMORA
263664,ALMORA
263665,ALMORA
263667,ALMORA
263676,ALMORA
263678,ALMORA
263679,BAGESHWAR
263680,ALMORA
